Acceptancenum	Simnum	Time	T0	T1	TMRCA	Variance	epsilonV	Heterozygosis	epsilonH	Numberofconfig	epsilonC	SASHloc	SH	MASH	SASH	SHchanges	SHdist	HBC	Simnum	Alpha
101	119396	0.032384	0.006217	61.240913	0.034490	0.276980	0.009282	0.387890	0.044561	46	0.000000	0.060884	0.838494	0.769456	0.299457	0.824742	0.195139	0.292308	119396	0.100000
102	119514	0.046632	0.009055	36.937065	0.055336	0.293125	-0.048465	0.406145	-0.000404	45	0.021739	0.054620	0.847049	0.788022	0.278456	0.821429	0.158473	0.274194	119514	0.100000
103	119755	0.019370	0.006724	81.645325	0.024482	0.258807	0.074285	0.378808	0.066933	49	-0.065217	0.086404	0.851260	0.696921	0.509236	0.825243	0.237688	0.279412	119755	0.100000
104	121261	0.032349	0.003269	61.590641	0.034049	0.280619	-0.003734	0.375169	0.075897	45	0.021739	0.116628	0.828572	0.748191	0.319214	0.847458	0.312664	0.366197	121261	0.100000
105	121466	0.066753	0.002652	38.193504	0.070484	0.283863	-0.015337	0.439195	-0.081811	42	0.086957	0.094301	0.881779	0.846130	0.231682	0.753247	0.206183	0.207547	121466	0.100000
106	121835	0.017043	0.002765	81.901863	0.019806	0.294444	-0.053186	0.369039	0.090996	48	-0.043478	0.081553	0.833515	0.749003	0.336706	0.854701	0.225532	0.360000	121835	0.100000
107	121925	0.057954	0.003184	36.772713	0.061198	0.274109	0.019551	0.400180	0.014290	46	0.000000	0.130838	0.798580	0.593423	0.504596	0.806818	0.302247	0.245902	121925	0.100000
108	124367	0.052133	0.007758	34.182514	0.053887	0.262960	0.059428	0.373901	0.079020	45	0.021739	0.053990	0.786864	0.720763	0.236722	0.773333	0.154516	0.166667	124367	0.100000
109	125938	0.055675	0.009990	32.521080	0.060068	0.282535	-0.010589	0.430829	-0.061203	43	0.065217	0.079127	0.845467	0.759511	0.357423	0.787879	0.145058	0.232143	125938	0.100000
110	126178	0.017796	0.008823	59.039391	0.025909	0.266562	0.046545	0.376242	0.073252	44	0.043478	0.067922	0.869890	0.799147	0.352214	0.824176	0.196253	0.362319	126178	0.100000
111	126542	0.045030	0.000415	33.015518	0.045169	0.264720	0.053133	0.378838	0.066860	46	0.000000	0.070122	0.901676	0.798399	0.512286	0.790698	0.190215	0.333333	126542	0.100000
112	126911	0.027100	0.009367	67.652054	0.040483	0.259739	0.070950	0.372395	0.082730	44	0.043478	0.080917	0.848964	0.732203	0.436006	0.820755	0.217535	0.362319	126911	0.100000
113	128334	0.024019	0.008289	48.863613	0.033541	0.254370	0.090155	0.395646	0.025458	43	0.065217	0.046536	0.830496	0.784714	0.212654	0.813333	0.110835	0.317460	128334	0.100000
114	128960	0.005346	0.005460	168.884277	0.008902	0.260306	0.068923	0.384684	0.052459	47	-0.021739	0.062232	0.755193	0.715751	0.138760	0.831579	0.145356	0.328571	128960	0.100000
115	129620	0.023436	0.009631	60.719109	0.029498	0.284012	-0.015870	0.388547	0.042945	47	-0.021739	0.051156	0.849347	0.797790	0.254968	0.808989	0.135267	0.287879	129620	0.100000
116	129722	0.026707	0.005766	54.771255	0.033137	0.295153	-0.055720	0.399016	0.017156	49	-0.065217	0.060301	0.741280	0.709851	0.108322	0.800000	0.165541	0.183333	129722	0.100000
117	129929	0.061835	0.003319	37.427673	0.065594	0.306473	-0.096210	0.426727	-0.051100	44	0.043478	0.164038	0.877946	0.785438	0.431149	0.817204	0.355810	0.266667	129929	0.100000
118	130797	0.035051	0.003675	46.898548	0.037792	0.294758	-0.054306	0.409188	-0.007898	46	0.000000	0.082025	0.852901	0.796254	0.278027	0.784091	0.243135	0.303030	130797	0.100000
119	134842	0.031200	0.006563	46.902885	0.036900	0.272289	0.026060	0.368010	0.093530	45	0.021739	0.095123	0.828877	0.722897	0.382457	0.802469	0.226825	0.274194	134842	0.100000
120	135314	0.003399	0.009711	152.031250	0.016288	0.265936	0.048785	0.401910	0.010029	46	0.000000	0.087444	0.632841	0.555812	0.173416	0.809524	0.195811	0.281250	135314	0.100000
121	138402	0.032548	0.008235	60.400616	0.039938	0.278523	0.003761	0.391500	0.035671	49	-0.065217	0.055995	0.735393	0.613696	0.315029	0.795455	0.170502	0.155172	138402	0.100000
122	139028	0.030510	0.004649	65.816818	0.033603	0.281305	-0.006188	0.380776	0.062084	49	-0.065217	0.096455	0.856327	0.746951	0.432230	0.820755	0.246730	0.337838	139028	0.100000
123	139635	0.020089	0.008729	95.327896	0.026630	0.257688	0.078286	0.380314	0.063223	50	-0.086957	0.057385	0.769740	0.700709	0.230648	0.842593	0.190831	0.333333	139635	0.100000
124	140380	0.036571	0.008781	51.749386	0.044417	0.276174	0.012163	0.380657	0.062378	42	0.086957	0.139086	0.905552	0.822952	0.466539	0.804598	0.318361	0.311475	140380	0.100000
125	140910	0.069860	0.000058	32.283939	0.069877	0.276734	0.010162	0.433200	-0.067044	43	0.065217	0.196800	0.838283	0.749910	0.353362	0.804878	0.365843	0.203704	140910	0.100000
126	141349	0.029415	0.005245	55.554497	0.034254	0.280231	-0.002347	0.402417	0.008780	48	-0.043478	0.071380	0.877110	0.789164	0.417132	0.821782	0.203026	0.304348	141349	0.100000
127	143433	0.014857	0.006183	82.435822	0.020540	0.258359	0.075885	0.391082	0.036699	46	0.000000	0.071659	0.686687	0.605272	0.206256	0.869159	0.188522	0.292308	143433	0.100000
128	143821	0.059834	0.007513	39.749817	0.063635	0.284817	-0.018751	0.391276	0.036222	47	-0.021739	0.058829	0.711829	0.677852	0.105470	0.802198	0.221905	0.253968	143821	0.100000
129	146796	0.057196	0.008371	31.000671	0.060920	0.281999	-0.008669	0.416227	-0.025238	43	0.065217	0.076844	0.819622	0.796744	0.112553	0.750000	0.176658	0.085106	146796	0.100000
130	146904	0.013769	0.002215	106.519760	0.014850	0.290850	-0.040330	0.381761	0.059660	49	-0.065217	0.061413	0.901646	0.778387	0.556190	0.862903	0.167625	0.395062	146904	0.100000
131	147599	0.013163	0.008944	86.068970	0.022535	0.252125	0.098184	0.381925	0.059255	48	-0.043478	0.073441	0.855739	0.778695	0.348136	0.822222	0.185824	0.304348	147599	0.100000
132	149517	0.084253	0.002725	31.124454	0.087767	0.298680	-0.068336	0.420120	-0.034826	45	0.021739	0.111283	0.880407	0.818914	0.339579	0.800000	0.337397	0.196429	149517	0.100000
