Acceptancenum	Simnum	Time	T0	T1	TMRCA	Variance	epsilonV	Heterozygosis	epsilonH	Numberofconfig	epsilonC	SASHloc	SH	MASH	SASH	SHchanges	SHdist	HBC	Simnum	Alpha
69	155372	0.039255	0.002346	35.842674	0.043275	0.172543	0.027407	0.277898	-0.092460	31	-0.068966	0.028007	0.538795	0.456260	0.151791	0.722222	0.127150	0.279070	155372	0.100000
70	167540	0.023411	0.005807	36.508877	0.036554	0.170380	0.039597	0.275228	-0.081965	31	-0.068966	0.037430	0.624541	0.575275	0.115995	0.735849	0.147195	0.295455	167540	0.100000
71	169202	0.020372	0.006453	31.522823	0.029519	0.180574	-0.017865	0.272857	-0.072643	29	0.000000	0.059101	0.730897	0.565388	0.380821	0.720000	0.175327	0.340909	169202	0.100000
72	169588	0.035458	0.002259	35.009644	0.037070	0.183863	-0.036402	0.267041	-0.049777	30	-0.034483	0.031176	0.694661	0.581818	0.269842	0.776119	0.139948	0.444444	169588	0.100000
73	174111	0.046678	0.007565	20.646715	0.049284	0.175250	0.012148	0.248622	0.022631	27	0.068966	0.015160	0.455882	0.418667	0.064016	0.702128	0.078622	0.341463	174111	0.100000
74	175835	0.010876	0.006451	63.283283	0.022644	0.186652	-0.052123	0.279777	-0.099847	31	-0.068966	0.051644	0.660071	0.590262	0.170374	0.745763	0.184558	0.425926	175835	0.100000
75	176685	0.039026	0.002779	25.632641	0.039790	0.160686	0.094241	0.269561	-0.059685	30	-0.034483	0.014482	0.534110	0.522203	0.024922	0.730769	0.069817	0.250000	176685	0.100000
76	181192	0.020786	0.000749	53.882557	0.021725	0.163415	0.078857	0.261895	-0.029550	30	-0.034483	0.047513	0.529764	0.377804	0.244230	0.791667	0.216003	0.444444	181192	0.100000
77	186067	0.027860	0.000592	40.495361	0.028311	0.164937	0.070282	0.242208	0.047842	30	-0.034483	0.048739	0.410616	0.395043	0.025742	0.750000	0.241417	0.333333	186067	0.100000
78	188387	0.015244	0.001465	67.293571	0.018900	0.163699	0.077259	0.263625	-0.036351	30	-0.034483	0.030468	0.504067	0.403189	0.169028	0.805195	0.152772	0.500000	188387	0.100000
