tau	theta0	theta1	pvalue	downtau(alpha=0.01)	uptau(alpha=0.01)	downtau(alpha=0.05)	uptau(alpha=0.05)	downtau(alpha=0.1)	uptau(alpha=0.1)	downtheta0(alpha=0.01)	uptheta0(alpha=0.01)	downtheta0(alpha=0.05)	uptheta0(alpha=0.05)	downtheta0(alpha=0.1)	uptheta0(alpha=0.1)	downtheta1(alpha=0.01)	uptheta1(alpha=0.01)	downtheta1(alpha=0.05)	uptheta1(alpha=0.05)	downtheta1(alpha=0.1)	uptheta1(alpha=0.1)	IS_tau	IS_theta0	IS_theta1	IS_pvalue	IS_downtau(alpha=0.01)	IS_uptau(alpha=0.01)	IS_downtau(alpha=0.05)	IS_uptau(alpha=0.05)	IS_downtau(alpha=0.1)	IS_uptau(alpha=0.1)	IS_downtheta0(alpha=0.01)	IS_uptheta0(alpha=0.01)	IS_downtheta0(alpha=0.05)	IS_uptheta0(alpha=0.05)	IS_downtheta0(alpha=0.1)	IS_uptheta0(alpha=0.1)	IS_downtheta1(alpha=0.01)	IS_uptheta1(alpha=0.01)	IS_downtheta1(alpha=0.05)	IS_uptheta1(alpha=0.05)	IS_downtheta1(alpha=0.1)	IS_uptheta1(alpha=0.1)	MSH	SH	MASH	P	SHchanges	DH	HBC
1.281	0.016	99999.000	1.00000000	1.113	1.463	1.113	1.463	1.113	1.463	0.000	0.021	0.000	0.021	0.000	0.021	11.402	99999.000	11.402	99999.000	11.402	99999.000	1.402	0.000	2498.150	1.00000000	1.141	1.742	1.141	1.742	1.141	1.742	0.000	0.105	0.000	0.105	0.000	0.105	9.185	99999.000	9.185	99999.000	9.185	99999.000	0.012804	0.338543	0.280597	0.080548	0.775862	0.092641	0.382979
1.418	0.000	99999.000	0.00000000	1.168	1.582	1.168	1.582	1.168	1.582	0.000	0.026	0.000	0.026	0.000	0.026	99999.000	99999.000	99999.000	99999.000	99999.000	99999.000	1.496	0.000	99999.000	0.00000000	1.391	1.662	1.391	1.662	1.391	1.662	0.000	0.316	0.000	0.316	0.000	0.316	34.703	99999.000	34.703	99999.000	34.703	99999.000	0.010150	0.470063	0.407300	0.105893	0.754386	0.061928	0.576923
1.709	0.007	99999.000	0.50000000	1.428	2.135	1.428	2.135	1.428	2.135	0.000	0.053	0.000	0.053	0.000	0.053	12.301	99999.000	12.301	99999.000	12.301	99999.000	1.938	0.000	99999.000	0.50000000	1.689	2.531	1.689	2.531	1.689	2.531	0.000	0.025	0.000	0.025	0.000	0.025	31.109	99999.000	31.109	99999.000	31.109	99999.000	0.025848	0.573823	0.459706	0.211214	0.764706	0.134389	0.482143
1.324	0.005	99999.000	0.20000000	1.168	1.535	1.168	1.535	1.168	1.535	0.000	0.267	0.000	0.267	0.000	0.267	173.375	99999.000	173.375	99999.000	173.375	99999.000	1.492	0.000	19.166	1.00000000	1.061	2.775	1.061	2.775	1.061	2.775	0.000	1.048	0.000	1.048	0.000	1.048	2.027	99999.000	2.027	99999.000	2.027	99999.000	0.014069	0.371084	0.340198	0.046812	0.784615	0.100173	0.472727
1.268	0.004	99999.000	0.00000000	0.955	1.498	0.955	1.498	0.955	1.498	0.000	0.067	0.000	0.067	0.000	0.067	36.930	99999.000	36.930	99999.000	36.930	99999.000	1.412	0.000	99999.000	0.10000000	1.164	1.594	1.164	1.594	1.164	1.594	0.000	0.004	0.000	0.004	0.000	0.004	14.762	99999.000	14.762	99999.000	14.762	99999.000	0.013558	0.437901	0.350596	0.134438	0.771930	0.108786	0.584906
1.334	0.000	8.138	0.90000000	0.143	2.514	0.143	2.514	0.143	2.514	0.000	0.053	0.000	0.053	0.000	0.053	1.768	99999.000	1.768	99999.000	1.768	99999.000	1.469	0.000	6.253	1.00000000	0.203	2.027	0.203	2.027	0.203	2.027	0.000	0.729	0.000	0.729	0.000	0.729	99999.000	99999.000	99999.000	99999.000	99999.000	99999.000	0.007031	0.308122	0.277330	0.042609	0.750000	0.058358	0.420000
1.439	0.000	99999.000	0.00000000	1.240	1.604	1.240	1.604	1.240	1.604	0.000	0.163	0.000	0.163	0.000	0.163	29.859	99999.000	29.859	99999.000	29.859	99999.000	1.537	0.000	99999.000	0.00000000	1.287	1.691	1.287	1.691	1.287	1.691	0.000	0.118	0.000	0.118	0.000	0.118	91.500	99999.000	91.500	99999.000	91.500	99999.000	0.011630	0.431824	0.368346	0.100496	0.796875	0.077089	0.543860
1.461	0.000	102.681	0.90000000	0.969	1.809	0.969	1.809	0.969	1.809	0.000	0.230	0.000	0.230	0.000	0.230	4.217	99999.000	4.217	99999.000	4.217	99999.000	1.695	0.000	20.572	1.00000000	0.924	2.559	0.924	2.559	0.924	2.559	0.000	0.181	0.000	0.181	0.000	0.181	3.296	99999.000	3.296	99999.000	3.296	99999.000	0.017451	0.465078	0.392692	0.119192	0.813333	0.104845	0.413793
0.969	0.000	99999.000	0.40000000	0.727	1.301	0.727	1.301	0.727	1.301	0.000	0.195	0.000	0.195	0.000	0.195	2.706	99999.000	2.706	99999.000	2.706	99999.000	0.973	0.000	99999.000	0.40000000	0.848	1.521	0.848	1.521	0.848	1.521	0.000	0.030	0.000	0.030	0.000	0.030	21.383	99999.000	21.383	99999.000	21.383	99999.000	0.005321	0.178215	0.158815	0.023062	0.686275	0.055438	0.500000
1.445	0.000	99999.000	0.10000000	1.203	1.707	1.203	1.707	1.203	1.707	0.000	0.009	0.000	0.009	0.000	0.009	8.277	99999.000	8.277	99999.000	8.277	99999.000	1.547	0.000	99999.000	0.10000000	1.221	1.939	1.221	1.939	1.221	1.939	0.000	0.156	0.000	0.156	0.000	0.156	4.674	99999.000	4.674	99999.000	4.674	99999.000	0.012733	0.480539	0.416203	0.110203	0.809524	0.078622	0.480769
