tau	theta0	theta1	pvalue	downtau(alpha=0.01)	uptau(alpha=0.01)	downtau(alpha=0.05)	uptau(alpha=0.05)	downtau(alpha=0.1)	uptau(alpha=0.1)	downtheta0(alpha=0.01)	uptheta0(alpha=0.01)	downtheta0(alpha=0.05)	uptheta0(alpha=0.05)	downtheta0(alpha=0.1)	uptheta0(alpha=0.1)	downtheta1(alpha=0.01)	uptheta1(alpha=0.01)	downtheta1(alpha=0.05)	uptheta1(alpha=0.05)	downtheta1(alpha=0.1)	uptheta1(alpha=0.1)	IS_tau	IS_theta0	IS_theta1	IS_pvalue	IS_downtau(alpha=0.01)	IS_uptau(alpha=0.01)	IS_downtau(alpha=0.05)	IS_uptau(alpha=0.05)	IS_downtau(alpha=0.1)	IS_uptau(alpha=0.1)	IS_downtheta0(alpha=0.01)	IS_uptheta0(alpha=0.01)	IS_downtheta0(alpha=0.05)	IS_uptheta0(alpha=0.05)	IS_downtheta0(alpha=0.1)	IS_uptheta0(alpha=0.1)	IS_downtheta1(alpha=0.01)	IS_uptheta1(alpha=0.01)	IS_downtheta1(alpha=0.05)	IS_uptheta1(alpha=0.05)	IS_downtheta1(alpha=0.1)	IS_uptheta1(alpha=0.1)	MSH	SH	MASH	P	SHchanges	DH	HBC
1.438	0.000	99999.000	0.40000000	1.203	1.900	1.203	1.900	1.203	1.900	0.000	0.047	0.000	0.047	0.000	0.047	7.291	99999.000	7.291	99999.000	7.291	99999.000	1.580	0.000	35.025	0.70000000	0.754	2.332	0.754	2.332	0.754	2.332	0.000	0.557	0.000	0.557	0.000	0.557	1.737	99999.000	1.737	99999.000	1.737	99999.000	0.018116	0.346507	0.308934	0.054370	0.791045	0.128376	0.479167
1.703	0.000	99999.000	0.00000000	1.502	2.125	1.502	2.125	1.502	2.125	0.000	0.011	0.000	0.011	0.000	0.011	5.182	99999.000	5.182	99999.000	5.182	99999.000	1.889	0.000	99999.000	0.10000000	1.641	2.471	1.641	2.471	1.641	2.471	0.000	0.007	0.000	0.007	0.000	0.007	14.195	99999.000	14.195	99999.000	14.195	99999.000	0.022265	0.668433	0.582822	0.205215	0.782609	0.118254	0.472727
2.023	0.000	99999.000	0.10000000	1.775	2.297	1.775	2.297	1.775	2.297	0.000	0.023	0.000	0.023	0.000	0.023	62.750	99999.000	62.750	99999.000	62.750	99999.000	2.355	0.000	99999.000	0.10000000	2.111	2.488	2.111	2.488	2.111	2.488	0.000	0.248	0.000	0.248	0.000	0.248	10.719	99999.000	10.719	99999.000	10.719	99999.000	0.038745	0.692260	0.603145	0.224554	0.835616	0.137252	0.339286
1.252	0.000	99999.000	0.60000000	0.994	1.889	0.994	1.889	0.994	1.889	0.000	0.040	0.000	0.040	0.000	0.040	8.033	99999.000	8.033	99999.000	8.033	99999.000	1.438	0.000	99999.000	1.00000000	1.189	1.725	1.189	1.725	1.189	1.725	0.000	0.009	0.000	0.009	0.000	0.009	45.719	99999.000	45.719	99999.000	45.719	99999.000	0.017889	0.392147	0.284880	0.149999	0.774194	0.134058	0.480000
1.062	0.028	99999.000	0.50000000	0.930	1.424	0.930	1.424	0.930	1.424	0.000	0.081	0.000	0.081	0.000	0.081	4.029	99999.000	4.029	99999.000	4.029	99999.000	0.967	0.134	99999.000	0.70000000	0.561	1.432	0.561	1.432	0.561	1.432	0.000	0.037	0.000	0.037	0.000	0.037	16.715	99999.000	16.715	99999.000	16.715	99999.000	0.012284	0.258152	0.241436	0.022036	0.791045	0.105764	0.500000
1.209	0.000	99999.000	1.00000000	0.957	1.387	0.957	1.387	0.957	1.387	0.000	0.316	0.000	0.316	0.000	0.316	9.664	99999.000	9.664	99999.000	9.664	99999.000	1.383	0.000	15.286	1.00000000	0.322	2.395	0.322	2.395	0.322	2.395	0.000	0.659	0.000	0.659	0.000	0.659	3.809	99999.000	3.809	99999.000	3.809	99999.000	0.011013	0.317273	0.264247	0.072070	0.787879	0.088220	0.452830
1.482	0.091	26.236	0.70000000	0.553	1.967	0.553	1.967	0.553	1.967	0.000	0.559	0.000	0.559	0.000	0.559	4.665	99999.000	4.665	99999.000	4.665	99999.000	1.875	0.000	11.431	0.80000000	1.039	3.176	1.039	3.176	1.039	3.176	0.000	1.114	0.000	1.114	0.000	1.114	3.311	99999.000	3.311	99999.000	3.311	99999.000	0.025464	0.459459	0.381354	0.126252	0.821429	0.140649	0.426230
1.557	0.000	99999.000	0.00000000	1.389	1.801	1.389	1.801	1.389	1.801	0.000	0.130	0.000	0.130	0.000	0.130	8.355	99999.000	8.355	99999.000	8.355	99999.000	1.787	0.002	99999.000	0.00000000	1.611	2.328	1.611	2.328	1.611	2.328	0.000	0.051	0.000	0.051	0.000	0.051	13.297	99999.000	13.297	99999.000	13.297	99999.000	0.027036	0.617939	0.502412	0.232174	0.820896	0.169551	0.568966
1.656	0.000	99999.000	0.00000000	1.408	2.102	1.408	2.102	1.408	2.102	0.000	0.012	0.000	0.012	0.000	0.012	5.504	99999.000	5.504	99999.000	5.504	99999.000	1.875	0.000	99999.000	0.60000000	1.180	2.250	1.180	2.250	1.180	2.250	0.000	0.374	0.000	0.374	0.000	0.374	15.465	99999.000	15.465	99999.000	15.465	99999.000	0.024957	0.576546	0.479149	0.186996	0.794118	0.139929	0.482143
1.711	0.025	36.275	0.60000000	1.215	2.367	1.215	2.367	1.215	2.367	0.000	0.294	0.000	0.294	0.000	0.294	3.062	99999.000	3.062	99999.000	3.062	99999.000	1.977	0.000	12.466	1.00000000	1.477	2.252	1.477	2.252	1.477	2.252	0.000	0.137	0.000	0.137	0.000	0.137	5.521	99999.000	5.521	99999.000	5.521	99999.000	0.018564	0.525738	0.493708	0.063262	0.761905	0.102216	0.377358
