tau	theta0	theta1	ragvalue	pvalue	downtau(alpha=0.01)	uptau(alpha=0.01)	downtau(alpha=0.05)	uptau(alpha=0.05)	downtau(alpha=0.1)	uptau(alpha=0.1)	downtheta0(alpha=0.01)	uptheta0(alpha=0.01)	downtheta0(alpha=0.05)	uptheta0(alpha=0.05)	downtheta0(alpha=0.1)	uptheta0(alpha=0.1)	downtheta1(alpha=0.01)	uptheta1(alpha=0.01)	downtheta1(alpha=0.05)	uptheta1(alpha=0.05)	downtheta1(alpha=0.1)	uptheta1(alpha=0.1)
3.215	0.137	77.188	0.67600000	0.90500000	1.396	4.523	2.037	4.260	2.215	4.064	0.000	1.612	0.000	1.176	0.000	0.940	12.461	99999.000	18.301	99999.000	21.348	99999.000
4.328	0.002	99999.000	0.00000000	0.00600000	3.090	5.062	3.496	4.771	3.740	4.703	0.000	0.930	0.000	0.635	0.000	0.413	29.703	99999.000	48.062	99999.000	55.484	99999.000
2.680	0.000	99999.000	0.00200000	0.00500000	2.002	3.336	2.213	3.170	2.305	3.072	0.000	0.752	0.000	0.346	0.000	0.142	14.273	99999.000	21.148	99999.000	28.805	99999.000
2.592	1.069	24.414	0.77100000	0.76900000	0.580	8.760	1.156	6.314	1.537	5.666	0.000	5.310	0.000	2.654	0.000	1.656	5.585	99999.000	7.496	99999.000	9.136	99999.000
3.701	0.000	85.156	0.45000000	0.18900000	1.748	4.812	2.172	4.549	2.375	4.400	0.000	1.682	0.000	1.264	0.000	0.993	14.576	99999.000	21.270	99999.000	25.627	99999.000
4.201	0.005	32.236	0.71200000	0.55400000	1.652	6.363	2.260	5.658	2.521	5.377	0.000	2.505	0.000	1.798	0.000	1.389	8.877	99999.000	13.640	99999.000	17.266	99999.000
3.332	0.002	99999.000	0.10700000	0.05300000	2.320	3.996	2.650	3.814	2.816	3.713	0.000	0.823	0.000	0.570	0.000	0.308	24.117	99999.000	31.305	99999.000	42.281	99999.000
4.102	0.002	99999.000	0.00000000	0.00700000	3.018	4.729	3.391	4.598	3.574	4.523	0.000	0.912	0.000	0.501	0.000	0.272	30.289	99999.000	41.344	99999.000	48.531	99999.000
4.336	0.000	99999.000	0.00000000	0.00300000	3.311	5.121	3.793	4.826	3.854	4.740	0.000	0.747	0.000	0.432	0.000	0.199	31.109	99999.000	49.938	99999.000	63.766	99999.000
3.729	0.005	19.736	0.63600000	0.31100000	0.719	6.416	1.307	5.557	1.760	5.254	0.000	2.355	0.000	1.716	0.000	1.311	6.827	99999.000	9.092	99999.000	11.494	99999.000
3.199	0.000	99999.000	0.22000000	0.19500000	2.344	3.910	2.695	3.699	2.732	3.596	0.000	0.682	0.000	0.353	0.000	0.118	16.988	99999.000	28.922	99999.000	38.531	99999.000
3.598	0.000	99999.000	0.09700000	0.04400000	2.803	4.338	3.094	4.090	3.113	4.000	0.000	0.800	0.000	0.424	0.000	0.111	27.750	99999.000	37.672	99999.000	52.828	99999.000
4.018	0.017	38.818	0.53700000	0.47800000	1.424	5.967	2.146	5.344	2.480	5.084	0.000	2.099	0.000	1.470	0.000	1.195	8.257	99999.000	13.625	99999.000	16.724	99999.000
4.094	0.042	45.156	0.66200000	0.64900000	1.746	5.832	2.348	5.430	2.684	5.129	0.000	2.292	0.000	1.617	0.000	1.255	9.929	99999.000	15.352	99999.000	21.133	99999.000
2.707	2.046	647.500	0.62800000	0.46400000	0.938	9.553	1.277	7.506	1.648	6.607	0.000	9.756	0.000	7.249	0.000	4.927	14.222	99999.000	17.163	99999.000	20.991	99999.000
3.648	0.005	76.797	0.63400000	0.55100000	1.736	4.752	2.045	4.453	2.254	4.303	0.000	1.716	0.000	1.368	0.000	1.144	14.730	99999.000	20.000	99999.000	23.828	99999.000
2.914	0.497	99999.000	0.59400000	0.36200000	1.828	5.447	2.379	4.684	2.656	4.291	0.000	1.761	0.000	0.615	0.000	0.445	14.605	99999.000	24.781	99999.000	32.242	99999.000
4.707	0.009	150.078	0.12000000	0.09100000	2.641	5.768	2.982	5.545	3.256	5.365	0.000	1.953	0.000	1.477	0.000	1.308	20.781	99999.000	38.125	99999.000	46.895	99999.000
4.166	0.000	99999.000	0.00200000	0.01200000	3.014	4.852	3.621	4.643	3.668	4.564	0.000	0.946	0.000	0.448	0.000	0.165	33.492	99999.000	47.047	99999.000	60.406	99999.000
3.381	0.000	99999.000	0.11800000	0.05000000	2.619	4.098	2.867	3.871	2.902	3.783	0.000	0.884	0.000	0.529	0.000	0.287	19.312	99999.000	29.234	99999.000	38.629	99999.000
4.973	0.007	45.977	0.66800000	0.65700000	2.191	6.861	2.715	6.377	3.055	6.105	0.000	2.871	0.000	1.946	0.000	1.679	14.688	99999.000	19.686	99999.000	24.395	99999.000
4.146	0.021	333.125	0.43800000	0.30400000	2.543	5.039	2.924	4.779	3.111	4.674	0.000	1.477	0.000	1.167	0.000	0.963	26.094	99999.000	41.250	99999.000	49.766	99999.000
4.326	0.000	99999.000	0.03500000	0.01400000	3.326	5.002	3.779	4.838	3.838	4.719	0.000	0.780	0.000	0.424	0.000	0.098	32.164	99999.000	51.656	99999.000	66.734	99999.000
3.219	0.000	99999.000	0.40900000	0.78200000	2.416	3.959	2.719	3.697	2.803	3.613	0.000	0.784	0.000	0.380	0.000	0.120	17.242	99999.000	24.977	99999.000	34.977	99999.000
3.471	0.005	99999.000	0.10200000	0.06400000	2.322	4.250	2.771	3.969	2.924	3.871	0.000	0.882	0.000	0.499	0.000	0.339	20.562	99999.000	29.586	99999.000	40.172	99999.000
4.717	0.021	58.896	0.69400000	0.76500000	2.146	6.330	2.795	5.895	3.123	5.619	0.000	2.192	0.000	1.644	0.000	1.385	16.143	99999.000	21.670	99999.000	27.100	99999.000
3.719	0.009	94.531	0.56400000	0.42800000	1.809	4.818	2.225	4.615	2.436	4.477	0.000	1.928	0.000	1.408	0.000	1.093	13.438	99999.000	20.803	99999.000	27.773	99999.000
3.977	0.002	34.062	0.60400000	0.42000000	1.400	6.092	1.889	5.303	2.287	5.074	0.000	2.319	0.000	1.756	0.000	1.336	8.607	99999.000	13.706	99999.000	16.487	99999.000
3.490	0.568	43.125	0.77500000	0.72000000	1.512	6.307	1.939	5.578	2.266	5.229	0.000	2.614	0.000	1.884	0.000	1.321	9.111	99999.000	14.336	99999.000	19.846	99999.000
4.340	0.028	56.709	0.38000000	0.30800000	1.930	6.111	2.461	5.504	2.840	5.299	0.000	2.095	0.000	1.637	0.000	1.383	12.990	99999.000	18.779	99999.000	23.584	99999.000
3.684	0.000	99999.000	0.19000000	0.07900000	2.846	4.324	3.168	4.123	3.188	4.043	0.000	0.765	0.000	0.461	0.000	0.162	27.008	99999.000	36.695	99999.000	44.234	99999.000
3.332	0.002	38.125	0.58700000	0.34400000	1.127	4.996	1.686	4.488	1.996	4.211	0.000	2.027	0.000	1.334	0.000	1.079	6.626	99999.000	10.859	99999.000	14.512	99999.000
4.545	0.004	99999.000	0.01000000	0.01800000	3.297	5.273	3.635	5.055	3.906	4.963	0.000	1.194	0.000	0.745	0.000	0.352	39.000	99999.000	53.375	99999.000	66.734	99999.000
4.541	0.002	127.031	0.30600000	0.12800000	2.635	5.602	2.936	5.354	3.113	5.205	0.000	1.932	0.000	1.325	0.000	1.146	22.891	99999.000	30.469	99999.000	39.141	99999.000
3.510	0.002	99999.000	0.01500000	0.01700000	2.537	4.289	2.791	3.965	2.945	3.877	0.000	1.009	0.000	0.536	0.000	0.313	25.602	99999.000	33.180	99999.000	39.859	99999.000
3.141	0.007	99999.000	0.47600000	0.22300000	2.256	3.775	2.473	3.609	2.641	3.518	0.000	0.861	0.000	0.510	0.000	0.334	18.883	99999.000	25.758	99999.000	31.930	99999.000
4.590	0.012	107.500	0.44600000	0.19600000	2.432	5.775	2.906	5.500	3.123	5.328	0.000	2.025	0.000	1.586	0.000	1.332	23.428	99999.000	30.352	99999.000	37.969	99999.000
3.588	0.004	99999.000	0.00100000	0.00800000	2.609	4.219	2.936	4.059	3.072	3.979	0.000	0.812	0.000	0.606	0.000	0.294	24.508	99999.000	35.719	99999.000	46.031	99999.000
4.133	0.000	2630.000	0.37000000	0.18800000	2.717	4.758	2.975	4.572	3.213	4.477	0.000	1.303	0.000	1.016	0.000	0.851	41.562	99999.000	56.641	99999.000	67.344	99999.000
3.881	0.000	99999.000	0.31200000	0.18700000	2.943	4.693	3.371	4.418	3.414	4.318	0.000	0.777	0.000	0.397	0.000	0.100	24.273	99999.000	36.617	99999.000	48.531	99999.000
2.883	0.018	34.297	0.57500000	0.26800000	1.078	4.348	1.508	3.914	1.695	3.725	0.000	1.633	0.000	1.245	0.000	0.970	4.883	99999.000	8.223	99999.000	10.092	99999.000
3.715	0.004	99999.000	0.00900000	0.01300000	2.520	4.439	2.947	4.199	3.215	4.127	0.000	0.933	0.000	0.640	0.000	0.338	24.000	99999.000	34.234	99999.000	42.516	99999.000
3.926	0.000	82.031	0.49900000	0.26800000	1.818	5.160	2.340	4.836	2.586	4.609	0.000	2.067	0.000	1.440	0.000	1.164	16.475	99999.000	22.051	99999.000	28.066	99999.000
3.969	0.000	99999.000	0.07000000	0.03100000	2.967	4.652	3.404	4.398	3.484	4.318	0.000	0.751	0.000	0.439	0.000	0.190	26.422	99999.000	41.188	99999.000	54.469	99999.000
4.689	0.016	33.083	0.75300000	0.85400000	1.580	7.094	2.287	6.340	2.662	6.057	0.000	2.879	0.000	1.891	0.000	1.501	10.779	99999.000	15.200	99999.000	17.947	99999.000
4.344	0.010	99999.000	0.36900000	0.21600000	3.055	5.021	3.588	4.859	3.814	4.775	0.000	1.134	0.000	0.619	0.000	0.281	25.953	99999.000	45.875	99999.000	68.062	99999.000
4.186	0.007	57.812	0.29800000	0.11900000	1.998	5.756	2.514	5.393	2.762	5.178	0.000	2.051	0.000	1.621	0.000	1.373	13.639	99999.000	19.590	99999.000	23.613	99999.000
4.305	0.002	99999.000	0.02200000	0.01000000	3.006	5.035	3.613	4.822	3.783	4.721	0.000	1.009	0.000	0.663	0.000	0.385	31.188	99999.000	46.969	99999.000	61.266	99999.000
4.156	0.000	99999.000	0.18700000	0.05800000	3.027	4.908	3.590	4.691	3.656	4.592	0.000	0.830	0.000	0.555	0.000	0.304	29.508	99999.000	44.469	99999.000	56.969	99999.000
4.422	0.004	56.797	0.51900000	0.40100000	2.070	5.930	2.465	5.609	2.686	5.385	0.000	2.347	0.000	1.723	0.000	1.339	14.590	99999.000	20.566	99999.000	24.961	99999.000
3.234	0.017	65.938	0.63400000	0.71600000	1.477	4.482	1.789	4.090	2.016	3.912	0.000	1.765	0.000	1.355	0.000	0.977	9.229	99999.000	14.258	99999.000	18.184	99999.000
3.361	0.002	99999.000	0.00900000	0.01100000	2.475	4.027	2.791	3.867	2.857	3.752	0.000	0.928	0.000	0.501	0.000	0.244	20.680	99999.000	30.016	99999.000	38.531	99999.000
4.061	0.004	137.031	0.65500000	0.67500000	2.420	5.184	2.652	4.904	2.875	4.662	0.000	1.703	0.000	1.389	0.000	1.127	21.484	99999.000	29.512	99999.000	37.793	99999.000
4.438	0.014	47.656	0.69300000	0.71800000	1.760	6.156	2.449	5.688	2.730	5.434	0.000	2.487	0.000	1.707	0.000	1.457	14.019	99999.000	18.472	99999.000	23.237	99999.000
3.406	0.012	99999.000	0.05300000	0.04100000	2.426	4.105	2.781	3.945	2.953	3.816	0.000	0.830	0.000	0.519	0.000	0.339	18.648	99999.000	29.977	99999.000	39.391	99999.000
2.982	0.014	44.922	0.66600000	0.34000000	1.283	4.334	1.533	3.912	1.807	3.744	0.000	1.716	0.000	1.176	0.000	0.879	7.085	99999.000	10.830	99999.000	14.121	99999.000
3.547	0.074	177.812	0.06700000	0.06300000	1.984	4.648	2.357	4.336	2.547	4.184	0.000	1.454	0.000	1.111	0.000	0.937	19.155	99999.000	27.803	99999.000	34.961	99999.000
3.543	0.010	99999.000	0.23800000	0.12700000	2.279	4.301	2.855	4.016	3.012	3.943	0.000	0.787	0.000	0.476	0.000	0.250	22.008	99999.000	31.266	99999.000	40.719	99999.000
5.037	0.000	112.812	0.42900000	0.20900000	3.039	6.369	3.312	5.980	3.533	5.820	0.000	2.313	0.000	1.628	0.000	1.318	21.533	99999.000	36.289	99999.000	42.734	99999.000
4.109	0.005	102.500	0.41700000	0.19300000	2.203	5.268	2.557	4.973	2.828	4.799	0.000	1.874	0.000	1.399	0.000	1.192	15.566	99999.000	22.576	99999.000	30.039	99999.000
4.287	0.000	99999.000	0.00300000	0.01200000	3.281	5.027	3.742	4.803	3.791	4.705	0.000	0.830	0.000	0.369	0.000	0.132	36.109	99999.000	47.984	99999.000	58.922	99999.000
4.703	0.000	92.969	0.53700000	0.34700000	2.586	5.957	2.949	5.615	3.209	5.447	0.000	1.978	0.000	1.484	0.000	1.276	20.405	99999.000	26.328	99999.000	33.164	99999.000
3.195	0.023	78.906	0.56200000	0.37400000	1.477	4.270	1.801	4.055	2.037	3.877	0.000	1.568	0.000	1.120	0.000	0.911	11.289	99999.000	15.742	99999.000	20.542	99999.000
4.607	0.046	93.633	0.33400000	0.16300000	2.297	6.010	2.855	5.699	3.166	5.514	0.000	2.027	0.000	1.591	0.000	1.211	23.047	99999.000	29.531	99999.000	34.570	99999.000
3.289	0.009	99999.000	0.44600000	0.33800000	2.268	4.051	2.711	3.770	2.826	3.672	0.000	0.853	0.000	0.489	0.000	0.206	20.680	99999.000	27.750	99999.000	34.469	99999.000
3.844	0.000	627.500	0.19900000	0.07400000	2.537	4.529	2.781	4.346	2.898	4.225	0.000	1.281	0.000	0.972	0.000	0.886	28.359	99999.000	39.609	99999.000	48.984	99999.000
4.068	0.005	1352.500	0.02900000	0.04100000	2.654	4.766	2.932	4.543	3.104	4.430	0.000	1.317	0.000	1.005	0.000	0.849	37.344	99999.000	57.422	99999.000	72.656	99999.000
2.943	0.007	234.062	0.49800000	0.35100000	1.562	3.656	1.844	3.457	2.033	3.371	0.000	1.188	0.000	0.940	0.000	0.798	12.852	99999.000	18.691	99999.000	24.414	99999.000
4.354	0.000	188.438	0.45700000	0.23300000	2.582	5.293	2.953	5.064	3.100	4.932	0.000	1.679	0.000	1.301	0.000	1.118	23.242	99999.000	34.414	99999.000	46.016	99999.000
5.049	0.000	99999.000	0.02700000	0.01300000	4.053	5.842	4.416	5.625	4.547	5.506	0.000	0.763	0.000	0.573	0.000	0.373	42.359	99999.000	63.141	99999.000	81.344	99999.000
3.498	0.007	58.555	0.63200000	0.60700000	1.455	4.826	1.855	4.404	2.104	4.225	0.000	1.818	0.000	1.334	0.000	1.076	10.204	99999.000	15.443	99999.000	19.902	99999.000
3.217	0.000	99999.000	0.44800000	0.36000000	2.557	3.934	2.717	3.691	2.762	3.613	0.000	0.657	0.000	0.315	0.000	0.069	18.121	99999.000	27.594	99999.000	36.461	99999.000
3.350	0.125	43.359	0.69000000	0.62500000	1.309	4.959	1.789	4.590	2.094	4.352	0.000	2.136	0.000	1.592	0.000	1.193	9.286	99999.000	13.496	99999.000	16.465	99999.000
4.652	0.011	20.400	0.89100000	0.87700000	1.373	7.438	2.076	6.844	2.561	6.457	0.000	3.078	0.000	1.949	0.000	1.526	6.058	99999.000	9.463	99999.000	12.803	99999.000
4.887	0.004	64.453	0.20300000	0.09800000	2.191	6.574	2.840	6.051	3.137	5.830	0.000	2.566	0.000	1.874	0.000	1.561	16.885	99999.000	25.244	99999.000	30.254	99999.000
3.941	0.000	32.070	0.70700000	0.64400000	1.562	5.816	2.016	5.191	2.342	4.977	0.000	2.109	0.000	1.619	0.000	1.308	7.489	99999.000	12.717	99999.000	15.554	99999.000
6.176	0.000	40.254	0.69800000	0.55300000	2.371	8.803	3.477	8.133	4.047	7.791	0.000	3.313	0.000	2.370	0.000	1.918	16.738	99999.000	21.660	99999.000	26.248	99999.000
3.812	0.003	68.359	0.56000000	0.42100000	1.771	5.031	2.162	4.750	2.416	4.500	0.000	1.703	0.000	1.385	0.000	1.155	15.078	99999.000	18.789	99999.000	22.939	99999.000
3.326	0.007	99999.000	0.33700000	0.10600000	2.355	4.018	2.646	3.828	2.893	3.691	0.000	0.759	0.000	0.575	0.000	0.403	17.945	99999.000	28.766	99999.000	37.516	99999.000
3.977	0.009	140.469	0.53700000	0.27200000	2.143	5.021	2.484	4.711	2.732	4.566	0.000	1.724	0.000	1.390	0.000	1.136	18.348	99999.000	26.875	99999.000	36.406	99999.000
3.633	0.007	39.375	0.49200000	0.27900000	1.332	5.211	1.871	4.723	2.232	4.590	0.000	1.911	0.000	1.501	0.000	1.227	7.964	99999.000	13.311	99999.000	15.781	99999.000
3.391	0.000	99999.000	0.09300000	0.02800000	2.719	4.133	2.895	3.898	2.984	3.779	0.000	0.621	0.000	0.313	0.000	0.100	20.445	99999.000	28.961	99999.000	37.281	99999.000
4.705	0.002	99999.000	0.03900000	0.01900000	3.480	5.514	3.799	5.279	4.096	5.178	0.000	1.063	0.000	0.670	0.000	0.411	41.422	99999.000	56.891	99999.000	68.844	99999.000
4.062	0.000	99999.000	0.00100000	0.00200000	3.076	4.732	3.561	4.562	3.582	4.477	0.000	0.768	0.000	0.457	0.000	0.185	30.602	99999.000	41.578	99999.000	54.000	99999.000
3.227	0.016	112.969	0.43700000	0.21900000	1.631	4.287	1.975	3.969	2.186	3.832	0.000	1.389	0.000	1.081	0.000	0.884	13.838	99999.000	19.551	99999.000	24.102	99999.000
4.613	0.016	76.797	0.30500000	0.24500000	2.105	6.145	2.824	5.750	3.020	5.549	0.000	2.380	0.000	1.573	0.000	1.348	19.824	99999.000	27.109	99999.000	31.172	99999.000
