tau	theta0	theta1	ragvalue	pvalue	downtau(alpha=0.01)	uptau(alpha=0.01)	downtau(alpha=0.05)	uptau(alpha=0.05)	downtau(alpha=0.1)	uptau(alpha=0.1)	downtheta0(alpha=0.01)	uptheta0(alpha=0.01)	downtheta0(alpha=0.05)	uptheta0(alpha=0.05)	downtheta0(alpha=0.1)	uptheta0(alpha=0.1)	downtheta1(alpha=0.01)	uptheta1(alpha=0.01)	downtheta1(alpha=0.05)	uptheta1(alpha=0.05)	downtheta1(alpha=0.1)	uptheta1(alpha=0.1)
4.900	0.012	17.714	0.82900000	0.70300000	1.307	8.363	2.189	7.377	2.586	6.943	0.000	2.751	0.000	1.900	0.000	1.505	7.792	99999.000	9.174	99999.000	11.405	99999.000
4.764	0.007	25.039	0.78400000	0.67000000	1.383	7.363	2.094	6.686	2.535	6.248	0.000	3.110	0.000	2.057	0.000	1.629	7.196	99999.000	10.332	99999.000	14.023	99999.000
5.023	0.019	34.199	0.82300000	0.97000000	1.883	7.555	2.730	6.770	3.004	6.438	0.000	3.025	0.000	1.992	0.000	1.566	14.062	99999.000	17.500	99999.000	20.361	99999.000
5.039	0.000	38.486	0.40700000	0.22800000	2.061	7.232	2.768	6.740	3.145	6.303	0.000	2.765	0.000	1.833	0.000	1.538	13.799	99999.000	17.566	99999.000	20.127	99999.000
5.629	0.000	33.398	0.61900000	0.38600000	2.500	8.385	3.203	7.402	3.574	7.078	0.000	2.872	0.000	2.045	0.000	1.577	10.112	99999.000	16.960	99999.000	21.211	99999.000
4.547	0.000	97.344	0.02100000	0.02400000	2.500	5.762	2.812	5.453	3.061	5.258	0.000	2.204	0.000	1.582	0.000	1.294	22.168	99999.000	27.812	99999.000	33.276	99999.000
5.303	0.000	426.875	0.23400000	0.13100000	3.357	6.266	3.873	5.994	4.078	5.818	0.000	1.809	0.000	1.354	0.000	1.051	50.703	99999.000	66.152	99999.000	81.719	99999.000
4.521	0.000	99999.000	0.09800000	0.03300000	3.311	5.258	3.895	5.023	4.021	4.939	0.000	0.907	0.000	0.557	0.000	0.179	34.156	99999.000	50.875	99999.000	61.500	99999.000
5.398	0.933	32.734	0.34800000	0.25300000	2.590	10.801	3.164	8.742	3.734	8.350	0.000	4.510	0.000	2.779	0.000	2.220	12.251	99999.000	17.617	99999.000	20.449	99999.000
3.699	0.652	23.389	0.87100000	0.95200000	1.189	8.689	2.002	6.754	2.301	6.180	0.000	2.878	0.000	1.777	0.000	1.353	5.569	99999.000	10.148	99999.000	13.514	99999.000
4.553	0.276	34.775	0.75900000	0.68400000	1.838	7.346	2.367	6.434	2.785	6.154	0.000	2.726	0.000	2.032	0.000	1.686	11.799	99999.000	15.654	99999.000	18.975	99999.000
4.725	0.000	99999.000	0.12800000	0.05600000	3.824	5.520	4.191	5.301	4.227	5.188	0.000	0.800	0.000	0.429	0.000	0.225	36.617	99999.000	57.828	99999.000	68.688	99999.000
5.562	0.000	69.844	0.15100000	0.11300000	2.881	7.156	3.520	6.742	3.803	6.598	0.000	2.535	0.000	1.965	0.000	1.656	23.828	99999.000	28.164	99999.000	33.784	99999.000
5.445	0.002	35.078	0.25000000	0.09900000	2.125	8.293	2.822	7.215	3.279	6.852	0.000	3.194	0.000	2.296	0.000	1.802	12.090	99999.000	18.690	99999.000	21.509	99999.000
5.029	0.014	33.145	0.72400000	0.49900000	1.994	7.549	2.525	6.764	2.973	6.457	0.000	3.074	0.000	2.053	0.000	1.696	12.136	99999.000	15.459	99999.000	19.980	99999.000
6.672	0.012	47.041	0.63300000	0.72800000	2.982	9.172	3.826	8.547	4.234	8.127	0.000	3.238	0.000	2.199	0.000	1.881	19.033	99999.000	26.104	99999.000	29.984	99999.000
4.564	0.000	99999.000	0.17600000	0.07500000	3.377	5.346	3.852	5.127	4.064	5.025	0.000	0.786	0.000	0.599	0.000	0.276	35.992	99999.000	56.656	99999.000	67.672	99999.000
4.879	0.011	69.062	0.55300000	0.30300000	2.271	6.625	2.891	6.061	3.182	5.887	0.000	2.399	0.000	1.775	0.000	1.455	19.774	99999.000	27.266	99999.000	33.740	99999.000
5.125	0.000	99999.000	0.00100000	0.00600000	4.133	5.912	4.500	5.648	4.621	5.570	0.000	1.027	0.000	0.571	0.000	0.211	44.625	99999.000	67.750	99999.000	84.000	99999.000
3.838	0.800	57.734	0.71100000	0.84700000	1.850	7.529	2.473	6.611	2.787	6.141	0.000	4.551	0.000	2.114	0.000	1.759	11.841	99999.000	18.638	99999.000	23.184	99999.000
5.383	0.002	65.781	0.19600000	0.06400000	2.467	7.107	3.061	6.604	3.465	6.357	0.000	2.777	0.000	1.965	0.000	1.631	18.251	99999.000	26.946	99999.000	34.414	99999.000
5.809	0.005	99.766	0.51600000	0.41500000	3.234	7.365	3.762	7.051	4.068	6.852	0.000	2.389	0.000	1.837	0.000	1.385	27.891	99999.000	38.672	99999.000	46.836	99999.000
5.668	0.063	39.834	0.66300000	0.55000000	2.457	8.209	3.271	7.441	3.598	7.037	0.000	2.907	0.000	2.222	0.000	1.851	13.657	99999.000	21.609	99999.000	25.029	99999.000
4.893	0.000	641.250	0.10400000	0.05300000	3.148	5.699	3.432	5.430	3.674	5.322	0.000	1.615	0.000	1.269	0.000	1.035	40.312	99999.000	64.277	99999.000	78.281	99999.000
6.215	0.004	38.711	0.16400000	0.04700000	2.633	9.084	3.398	8.174	3.863	7.748	0.000	3.263	0.000	2.252	0.000	1.860	17.002	99999.000	22.590	99999.000	25.315	99999.000
5.414	0.004	95.078	0.02100000	0.03000000	2.922	6.826	3.408	6.467	3.660	6.246	0.000	2.380	0.000	1.837	0.000	1.491	25.547	99999.000	36.152	99999.000	44.414	99999.000
5.031	0.011	35.605	0.58000000	0.29900000	2.010	7.617	2.770	6.846	3.082	6.469	0.000	2.930	0.000	1.963	0.000	1.566	14.465	99999.000	19.133	99999.000	22.324	99999.000
7.117	0.000	18.196	0.61700000	0.43000000	1.816	11.602	3.443	10.336	4.072	9.729	0.000	4.681	0.000	2.969	0.000	2.023	8.596	99999.000	10.627	534.446	12.900	179.133
4.844	0.004	38.828	0.57200000	0.31300000	1.934	6.604	2.664	6.172	2.965	5.928	0.000	2.243	0.000	1.836	0.000	1.450	12.695	99999.000	18.804	99999.000	22.305	99999.000
6.758	0.032	32.262	0.82300000	0.54800000	2.930	9.941	3.723	9.162	4.076	8.680	0.000	3.755	0.000	2.617	0.000	2.120	16.168	99999.000	19.192	99999.000	21.200	99999.000
4.980	0.000	159.375	0.22400000	0.06900000	2.996	6.189	3.379	5.871	3.596	5.674	0.000	1.902	0.000	1.524	0.000	1.269	31.494	99999.000	42.109	99999.000	52.422	99999.000
4.730	0.011	19.961	0.73600000	0.63200000	1.076	7.809	2.119	6.736	2.559	6.322	0.000	3.359	0.000	2.036	0.000	1.663	6.357	99999.000	9.501	99999.000	11.741	99999.000
4.459	0.886	27.578	0.87500000	0.84700000	1.605	10.459	2.424	8.357	2.783	7.217	0.000	3.937	0.000	2.419	0.000	1.837	9.611	99999.000	13.706	99999.000	16.542	99999.000
4.373	1.118	58.438	0.36000000	0.12200000	2.111	8.883	2.754	7.357	3.305	6.916	0.000	5.273	0.000	2.923	0.000	1.997	16.511	99999.000	20.791	99999.000	25.360	99999.000
5.523	0.279	51.377	0.81200000	0.84900000	2.799	8.049	3.492	7.518	3.846	7.225	0.000	2.702	0.000	2.011	0.000	1.659	18.438	99999.000	26.309	99999.000	31.924	99999.000
6.029	0.000	41.328	0.34300000	0.23100000	2.242	8.461	3.484	7.811	3.984	7.461	0.000	3.175	0.000	2.134	0.000	1.607	14.951	99999.000	21.484	99999.000	25.381	99999.000
5.318	0.018	39.473	0.68400000	0.45600000	1.990	7.607	2.832	6.928	3.354	6.514	0.000	2.897	0.000	2.023	0.000	1.614	12.466	99999.000	18.232	99999.000	22.090	99999.000
4.156	0.004	55.869	0.41500000	0.21700000	1.859	5.771	2.293	5.275	2.557	5.027	0.000	2.352	0.000	1.610	0.000	1.338	12.566	99999.000	17.930	99999.000	23.643	99999.000
5.836	0.002	44.844	0.70100000	0.45500000	2.621	8.148	3.275	7.482	3.738	7.207	0.000	3.352	0.000	2.357	0.000	1.723	17.153	99999.000	22.554	99999.000	26.836	99999.000
7.863	0.004	21.055	0.16200000	0.04000000	2.697	12.600	3.666	11.512	4.611	10.809	0.000	4.660	0.000	2.853	0.000	2.036	10.261	99999.000	13.975	99999.000	15.856	242.305
5.086	0.002	99999.000	0.01500000	0.01300000	3.719	5.873	4.227	5.668	4.492	5.547	0.000	1.176	0.000	0.670	0.000	0.327	40.328	99999.000	59.156	99999.000	75.953	99999.000
4.982	0.007	67.969	0.39400000	0.15200000	2.428	6.459	2.951	6.154	3.271	5.904	0.000	2.299	0.000	1.689	0.000	1.339	19.309	99999.000	24.688	99999.000	30.664	99999.000
4.125	0.000	99999.000	0.04500000	0.02900000	3.293	4.914	3.623	4.623	3.641	4.541	0.000	0.837	0.000	0.515	0.000	0.225	30.875	99999.000	47.125	99999.000	58.453	99999.000
6.027	0.017	59.297	0.54200000	0.44200000	2.955	8.094	3.549	7.516	3.895	7.215	0.000	2.825	0.000	2.322	0.000	1.826	22.510	99999.000	29.688	99999.000	35.049	99999.000
4.234	0.689	16.577	0.69900000	0.65200000	1.148	9.900	2.059	8.299	2.500	7.281	0.000	3.113	0.000	2.310	0.000	1.596	6.499	99999.000	8.794	99999.000	10.448	99999.000
6.053	0.002	25.393	0.79800000	0.72800000	2.328	9.949	3.121	8.617	3.572	8.160	0.000	3.414	0.000	2.534	0.000	1.942	11.646	99999.000	15.081	99999.000	17.463	99999.000
5.258	0.002	89.375	0.18700000	0.14400000	2.844	6.988	3.156	6.418	3.553	6.188	0.000	2.294	0.000	1.830	0.000	1.461	22.061	99999.000	34.912	99999.000	41.738	99999.000
4.242	0.000	125.625	0.03500000	0.05200000	2.164	5.250	2.605	4.986	2.846	4.814	0.000	2.062	0.000	1.477	0.000	1.183	19.961	99999.000	28.770	99999.000	38.281	99999.000
4.086	0.000	99999.000	0.15000000	0.06300000	3.189	4.826	3.520	4.592	3.588	4.494	0.000	0.728	0.000	0.571	0.000	0.267	34.859	99999.000	46.188	99999.000	59.938	99999.000
5.039	0.007	357.500	0.08900000	0.05000000	3.234	5.928	3.611	5.727	3.805	5.617	0.000	1.559	0.000	1.243	0.000	1.056	43.496	99999.000	58.516	99999.000	73.535	99999.000
5.875	0.005	36.416	0.45800000	0.27200000	2.463	8.773	3.445	7.797	3.809	7.359	0.000	3.275	0.000	2.255	0.000	1.779	15.342	99999.000	21.643	99999.000	25.244	99999.000
2.643	1.995	133.438	0.69600000	0.61900000	0.791	9.088	1.246	7.264	1.551	6.344	0.000	9.229	0.000	6.703	0.000	5.075	12.314	99999.000	15.753	99999.000	18.909	99999.000
5.637	0.000	17.959	0.69100000	0.47100000	1.350	9.018	2.373	8.135	3.055	7.785	0.000	3.472	0.000	2.296	0.000	1.679	7.632	99999.000	10.225	99999.000	12.505	99999.000
4.906	0.002	93.516	0.26700000	0.13900000	2.668	6.326	3.143	5.967	3.389	5.750	0.000	2.162	0.000	1.610	0.000	1.274	18.232	99999.000	27.783	99999.000	37.344	99999.000
4.912	0.000	99999.000	0.26100000	0.09800000	3.916	5.723	4.318	5.494	4.412	5.369	0.000	0.867	0.000	0.374	0.000	0.093	37.711	99999.000	52.750	99999.000	70.406	99999.000
4.346	0.000	99999.000	0.08600000	0.03300000	3.598	4.947	3.832	4.828	3.881	4.754	0.000	0.865	0.000	0.490	0.000	0.171	32.867	99999.000	48.062	99999.000	60.328	99999.000
6.131	0.000	43.594	0.34000000	0.25800000	2.662	8.635	3.701	8.047	4.057	7.643	0.000	2.862	0.000	2.266	0.000	1.930	17.375	99999.000	22.441	99999.000	27.510	99999.000
5.475	0.004	43.281	0.59800000	0.46000000	2.023	7.920	2.875	7.031	3.328	6.680	0.000	2.633	0.000	2.138	0.000	1.624	15.947	99999.000	21.738	99999.000	25.977	99999.000
4.758	0.009	21.909	0.76000000	0.71500000	1.445	7.822	2.227	6.908	2.660	6.543	0.000	3.769	0.000	2.095	0.000	1.564	7.207	99999.000	9.858	99999.000	12.935	99999.000
4.434	0.007	143.125	0.45300000	0.24000000	2.430	5.539	2.891	5.252	3.125	5.109	0.000	1.979	0.000	1.380	0.000	1.155	27.466	99999.000	36.211	99999.000	43.828	99999.000
3.760	0.014	526.250	0.42500000	0.23700000	2.375	4.447	2.656	4.279	2.775	4.207	0.000	1.208	0.000	0.972	0.000	0.795	27.969	99999.000	39.648	99999.000	47.266	99999.000
5.771	0.011	102.188	0.25400000	0.14400000	3.084	7.348	3.748	6.947	4.010	6.740	0.000	2.672	0.000	1.735	0.000	1.501	27.275	99999.000	38.809	99999.000	47.695	99999.000
4.172	0.000	58.984	0.54900000	0.13700000	1.754	5.990	2.363	5.340	2.686	5.096	0.000	2.098	0.000	1.540	0.000	1.336	12.295	99999.000	19.766	99999.000	24.219	99999.000
6.250	0.000	51.172	0.40900000	0.19500000	3.086	8.438	3.699	7.918	4.061	7.602	0.000	3.350	0.000	2.280	0.000	1.902	21.025	99999.000	27.861	99999.000	32.139	99999.000
4.582	0.000	99999.000	0.07800000	0.02900000	3.574	5.297	3.975	5.111	4.088	5.014	0.000	0.703	0.000	0.439	0.000	0.091	37.438	99999.000	51.188	99999.000	65.484	99999.000
2.732	1.283	77.969	0.62500000	0.41500000	0.932	8.529	1.559	6.336	1.863	5.555	0.000	6.776	0.000	3.078	0.000	1.958	11.113	99999.000	13.898	99999.000	16.309	99999.000
4.363	0.000	105.938	0.25700000	0.11100000	2.264	5.611	2.691	5.207	2.898	5.037	0.000	2.030	0.000	1.408	0.000	1.130	20.127	99999.000	27.500	99999.000	33.965	99999.000
5.646	0.000	72.188	0.09100000	0.06200000	2.857	7.506	3.584	7.033	3.857	6.777	0.000	2.637	0.000	1.909	0.000	1.579	23.516	99999.000	30.117	99999.000	37.236	99999.000
5.051	0.000	162.188	0.32200000	0.11600000	2.840	6.215	3.344	5.879	3.570	5.691	0.000	2.064	0.000	1.621	0.000	1.426	29.375	99999.000	41.133	99999.000	53.555	99999.000
5.258	0.009	137.344	0.14700000	0.07100000	2.920	6.633	3.449	6.191	3.637	5.965	0.000	2.130	0.000	1.619	0.000	1.339	32.227	99999.000	44.219	99999.000	51.719	99999.000
4.508	0.111	126.250	0.44900000	0.26500000	2.594	6.029	2.986	5.580	3.234	5.410	0.000	1.997	0.000	1.455	0.000	1.179	22.549	99999.000	31.992	99999.000	42.188	99999.000
4.316	0.000	513.750	0.12700000	0.06500000	2.803	4.992	3.098	4.814	3.324	4.715	0.000	1.318	0.000	1.092	0.000	0.940	36.680	99999.000	46.758	99999.000	55.859	99999.000
5.398	0.000	99999.000	0.00000000	0.00300000	4.213	6.227	4.709	5.893	4.867	5.818	0.000	0.853	0.000	0.589	0.000	0.118	43.688	99999.000	66.344	99999.000	86.188	99999.000
3.467	1.621	64.766	0.56200000	0.33300000	1.637	10.861	1.982	8.330	2.475	6.738	0.000	7.112	0.000	4.407	0.000	2.714	12.949	99999.000	17.156	99999.000	21.130	99999.000
5.064	0.002	165.625	0.16300000	0.08500000	2.982	6.219	3.371	5.961	3.604	5.775	0.000	2.123	0.000	1.579	0.000	1.236	34.980	99999.000	45.537	99999.000	56.328	99999.000
3.867	0.011	99999.000	0.28800000	0.11400000	2.814	4.555	3.234	4.375	3.340	4.275	0.000	0.905	0.000	0.555	0.000	0.360	28.844	99999.000	41.109	99999.000	51.578	99999.000
5.195	0.004	146.016	0.28300000	0.14500000	2.930	6.461	3.281	6.111	3.609	5.900	0.000	2.194	0.000	1.596	0.000	1.324	31.523	99999.000	44.287	99999.000	54.219	99999.000
5.193	0.539	38.711	0.72300000	0.69300000	2.434	8.578	3.248	7.936	3.629	7.461	0.000	3.340	0.000	2.116	0.000	1.657	13.721	99999.000	20.576	99999.000	22.969	99999.000
5.783	0.002	71.182	0.23800000	0.08000000	2.873	7.387	3.400	7.025	3.830	6.812	0.000	2.558	0.000	1.953	0.000	1.573	22.568	99999.000	29.561	99999.000	36.963	99999.000
4.953	0.002	17.346	0.63100000	0.33800000	1.262	8.549	2.102	7.297	2.529	6.736	0.000	3.396	0.000	2.262	0.000	1.744	6.963	99999.000	8.938	99999.000	11.448	99999.000
4.873	0.005	56.641	0.26700000	0.10400000	2.084	6.721	2.729	6.104	3.113	5.857	0.000	2.839	0.000	1.997	0.000	1.580	15.156	99999.000	24.170	99999.000	28.086	99999.000
4.510	0.123	48.047	0.19800000	0.11200000	2.092	6.291	2.662	5.896	2.973	5.674	0.000	2.419	0.000	1.726	0.000	1.257	13.669	99999.000	18.501	99999.000	23.486	99999.000
4.676	0.025	26.621	0.51500000	0.45000000	1.508	7.248	2.096	6.477	2.568	6.100	0.000	3.002	0.000	2.032	0.000	1.521	10.508	99999.000	13.208	99999.000	16.748	99999.000
5.475	0.216	63.477	0.58200000	0.56200000	2.689	7.742	3.342	7.215	3.744	6.818	0.000	2.856	0.000	2.072	0.000	1.591	19.468	99999.000	28.604	99999.000	34.531	99999.000
4.465	0.000	174.375	0.22100000	0.09100000	2.553	5.602	2.977	5.277	3.117	5.100	0.000	1.768	0.000	1.378	0.000	1.167	30.078	99999.000	39.805	99999.000	47.070	99999.000
5.158	0.000	428.125	0.11100000	0.05400000	3.238	5.920	3.682	5.756	3.920	5.631	0.000	1.633	0.000	1.324	0.000	1.058	44.004	99999.000	66.562	99999.000	81.406	99999.000
5.451	0.076	59.297	0.49200000	0.43200000	2.816	7.473	3.201	6.922	3.584	6.637	0.000	2.417	0.000	1.862	0.000	1.582	19.580	99999.000	26.321	99999.000	32.251	99999.000
6.043	0.019	44.639	0.64500000	0.65300000	2.734	8.395	3.332	7.811	3.816	7.420	0.000	3.549	0.000	2.350	0.000	1.858	17.861	99999.000	23.232	99999.000	28.440	99999.000
4.355	0.000	64.844	0.12900000	0.03400000	2.191	5.936	2.613	5.467	2.824	5.248	0.000	2.238	0.000	1.672	0.000	1.369	14.883	99999.000	20.410	99999.000	27.314	99999.000
6.369	0.026	41.226	0.81400000	0.86800000	2.979	8.936	3.732	8.146	4.166	7.842	0.000	3.078	0.000	2.406	0.000	1.949	15.952	99999.000	23.159	99999.000	27.769	99999.000
