tau	theta0	theta1	pvalue	downtau(alpha=0.01)	uptau(alpha=0.01)	downtau(alpha=0.05)	uptau(alpha=0.05)	downtau(alpha=0.1)	uptau(alpha=0.1)	downtheta0(alpha=0.01)	uptheta0(alpha=0.01)	downtheta0(alpha=0.05)	uptheta0(alpha=0.05)	downtheta0(alpha=0.1)	uptheta0(alpha=0.1)	downtheta1(alpha=0.01)	uptheta1(alpha=0.01)	downtheta1(alpha=0.05)	uptheta1(alpha=0.05)	downtheta1(alpha=0.1)	uptheta1(alpha=0.1)	IS_tau	IS_theta0	IS_theta1	IS_pvalue	IS_downtau(alpha=0.01)	IS_uptau(alpha=0.01)	IS_downtau(alpha=0.05)	IS_uptau(alpha=0.05)	IS_downtau(alpha=0.1)	IS_uptau(alpha=0.1)	IS_downtheta0(alpha=0.01)	IS_uptheta0(alpha=0.01)	IS_downtheta0(alpha=0.05)	IS_uptheta0(alpha=0.05)	IS_downtheta0(alpha=0.1)	IS_uptheta0(alpha=0.1)	IS_downtheta1(alpha=0.01)	IS_uptheta1(alpha=0.01)	IS_downtheta1(alpha=0.05)	IS_uptheta1(alpha=0.05)	IS_downtheta1(alpha=0.1)	IS_uptheta1(alpha=0.1)	MSH	SH	MASH	P	SHchanges	DH	HBC
1.344	0.000	99999.000	0.23100000	0.844	2.027	1.057	1.824	1.090	1.721	0.000	0.373	0.000	0.077	0.000	0.033	2.994	99999.000	5.201	99999.000	7.809	99999.000	1.518	0.004	99999.000	0.25500000	0.691	2.100	1.076	1.885	1.223	1.822	0.000	0.420	0.000	0.176	0.000	0.037	4.078	99999.000	6.725	99999.000	9.449	99999.000	0.015940	0.336084	0.217416	0.151636	0.697674	0.114149	0.500000
1.648	0.005	32.369	0.43300000	0.398	2.738	0.816	2.375	0.961	2.281	0.000	1.030	0.000	0.628	0.000	0.420	2.610	99999.000	3.593	99999.000	4.496	99999.000	2.199	0.000	26.875	0.33200000	0.654	3.510	0.924	3.105	1.137	2.863	0.000	1.359	0.000	0.951	0.000	0.712	2.815	99999.000	5.176	99999.000	6.816	99999.000	0.041503	0.586924	0.408178	0.302027	0.745455	0.228929	0.340909
1.172	0.000	99999.000	0.10300000	0.672	1.801	0.906	1.625	0.924	1.506	0.000	0.323	0.000	0.107	0.000	0.040	2.560	99999.000	6.422	99999.000	16.051	99999.000	1.232	0.000	99999.000	0.38100000	0.764	1.855	0.951	1.668	0.980	1.557	0.000	0.329	0.000	0.077	0.000	0.035	3.138	99999.000	5.240	99999.000	13.609	99999.000	0.008649	0.271530	0.236471	0.045917	0.682927	0.082552	0.500000
1.775	0.012	64.947	0.56300000	0.545	2.592	0.998	2.381	1.166	2.264	0.000	0.997	0.000	0.663	0.000	0.466	3.161	99999.000	4.593	99999.000	6.334	99999.000	1.969	0.004	19.595	0.81800000	0.420	3.271	0.789	2.998	1.012	2.812	0.000	1.280	0.000	0.747	0.000	0.531	2.193	99999.000	3.547	99999.000	4.849	99999.000	0.013076	0.425681	0.399003	0.044390	0.770492	0.065766	0.326531
1.885	0.012	3.931	0.88600000	0.000	4.775	0.000	3.859	0.514	3.463	0.000	1.222	0.000	0.733	0.000	0.141	0.894	99999.000	1.724	99999.000	2.302	99999.000	2.234	0.000	3.392	0.89300000	0.000	6.674	0.000	5.133	0.459	4.258	0.000	1.944	0.000	0.691	0.000	0.056	0.406	99999.000	1.512	99999.000	2.233	99999.000	0.006957	0.341234	0.330537	0.015978	0.702128	0.077779	0.325000
1.223	0.000	99999.000	0.43600000	0.719	1.863	0.926	1.680	0.971	1.574	0.000	0.248	0.000	0.069	0.000	0.030	2.760	99999.000	5.084	99999.000	12.730	99999.000	1.375	0.000	99999.000	0.87200000	0.900	2.078	1.066	1.824	1.115	1.713	0.000	0.388	0.000	0.114	0.000	0.032	3.556	99999.000	5.104	99999.000	8.434	99999.000	0.017599	0.428749	0.345278	0.127492	0.760000	0.133968	0.477273
1.105	0.000	17.141	0.29200000	0.000	2.484	0.396	2.062	0.566	1.799	0.000	0.871	0.000	0.538	0.000	0.360	0.890	99999.000	1.221	99999.000	1.702	99999.000	1.463	0.000	3.528	0.78800000	0.000	4.445	0.000	3.486	0.262	2.871	0.000	1.368	0.000	0.455	0.000	0.160	0.635	99999.000	1.277	99999.000	1.678	99999.000	0.004760	0.178979	0.169481	0.011436	0.692308	0.038926	0.242424
1.039	0.002	99999.000	0.06000000	0.475	1.670	0.734	1.465	0.781	1.355	0.000	0.288	0.000	0.146	0.000	0.056	1.917	99999.000	3.575	99999.000	10.797	99999.000	1.111	0.004	99999.000	0.21800000	0.449	1.760	0.779	1.623	0.830	1.494	0.000	0.396	0.000	0.146	0.000	0.049	2.384	99999.000	4.371	99999.000	14.215	99999.000	0.012557	0.197702	0.140460	0.066596	0.684211	0.111578	0.500000
2.055	0.000	99999.000	0.02300000	1.541	2.777	1.709	2.559	1.775	2.408	0.000	0.445	0.000	0.171	0.000	0.054	7.203	99999.000	12.320	99999.000	15.875	99999.000	2.326	0.040	99999.000	0.32100000	1.568	3.107	1.779	2.830	1.975	2.727	0.000	0.610	0.000	0.357	0.000	0.176	9.898	99999.000	13.727	99999.000	19.273	99999.000	0.055350	0.683666	0.645072	0.108738	0.741935	0.186398	0.346939
1.361	0.046	28.267	0.65300000	0.094	2.508	0.600	2.309	0.812	2.100	0.000	1.011	0.000	0.664	0.000	0.452	1.653	99999.000	2.029	99999.000	3.039	99999.000	0.854	0.679	99999.000	0.77200000	0.000	4.018	0.182	3.033	0.451	2.613	0.000	4.558	0.000	0.912	0.000	0.125	2.550	99999.000	5.167	99999.000	6.500	99999.000	0.008900	0.336145	0.318555	0.025813	0.733333	0.060861	0.416667
1.342	0.000	99999.000	0.06700000	0.873	1.979	1.061	1.820	1.092	1.711	0.000	0.313	0.000	0.118	0.000	0.040	3.604	99999.000	5.807	99999.000	10.953	99999.000	1.691	0.000	99999.000	0.35000000	1.160	2.344	1.346	2.117	1.418	2.020	0.000	0.529	0.000	0.174	0.000	0.032	4.840	99999.000	7.828	99999.000	11.520	99999.000	0.035391	0.532824	0.338168	0.294117	0.780000	0.221036	0.511628
1.629	0.002	2.323	0.63500000	0.000	4.920	0.000	4.027	0.000	3.465	0.000	1.290	0.000	0.279	0.000	0.049	0.628	99999.000	1.272	99999.000	1.807	99999.000	2.018	0.002	2.516	0.66700000	0.000	5.402	0.000	4.408	0.049	3.682	0.000	2.083	0.000	0.336	0.000	0.056	0.314	99999.000	1.285	99999.000	1.876	99999.000	0.022484	0.301300	0.216365	0.108386	0.733333	0.180869	0.342857
1.242	0.000	99999.000	0.41500000	0.746	1.898	0.961	1.701	0.992	1.568	0.000	0.302	0.000	0.114	0.000	0.042	3.199	99999.000	4.615	99999.000	11.051	99999.000	1.295	0.016	99999.000	0.46200000	0.525	1.898	0.928	1.736	1.010	1.631	0.000	0.394	0.000	0.162	0.000	0.054	2.901	99999.000	5.094	99999.000	11.676	99999.000	0.006530	0.303338	0.264672	0.052582	0.641026	0.053845	0.342857
0.932	0.000	99999.000	0.91800000	0.623	1.605	0.678	1.369	0.686	1.250	0.000	0.260	0.000	0.095	0.000	0.047	2.025	99999.000	11.344	99999.000	16.227	99999.000	0.996	0.044	17.903	0.91600000	0.000	2.439	0.250	1.857	0.443	1.668	0.000	0.853	0.000	0.501	0.000	0.288	0.949	99999.000	1.380	99999.000	1.841	99999.000	0.008208	0.287455	0.241634	0.060421	0.722222	0.090306	0.406250
1.439	0.000	4.143	0.85800000	0.000	3.918	0.000	2.961	0.250	2.646	0.000	1.176	0.000	0.548	0.000	0.200	0.716	99999.000	1.795	99999.000	2.254	99999.000	1.463	0.074	3.929	0.91800000	0.000	4.434	0.000	3.512	0.207	3.025	0.000	1.202	0.000	0.584	0.000	0.118	0.889	99999.000	1.693	99999.000	2.069	99999.000	0.006426	0.361945	0.340706	0.032216	0.704545	0.054089	0.351351
1.246	0.002	99999.000	0.05400000	0.625	1.916	0.918	1.707	0.961	1.605	0.000	0.313	0.000	0.146	0.000	0.062	2.843	99999.000	4.088	99999.000	5.377	99999.000	1.439	0.000	99999.000	0.11300000	0.943	2.098	1.154	1.926	1.186	1.820	0.000	0.362	0.000	0.121	0.000	0.044	4.020	99999.000	6.168	99999.000	10.562	99999.000	0.021794	0.425212	0.305974	0.171806	0.750000	0.150323	0.512195
1.453	0.000	9.329	0.66300000	0.000	3.195	0.215	2.734	0.480	2.428	0.000	1.062	0.000	0.621	0.000	0.411	1.331	99999.000	1.780	99999.000	2.323	99999.000	1.822	0.005	4.991	0.87600000	0.000	4.615	0.041	3.783	0.521	3.350	0.000	1.540	0.000	0.629	0.000	0.239	0.977	99999.000	1.718	99999.000	2.591	99999.000	0.019236	0.312458	0.267722	0.061091	0.717391	0.123953	0.365854
1.518	0.005	99999.000	0.34300000	0.736	2.248	1.115	2.000	1.221	1.885	0.000	0.478	0.000	0.193	0.000	0.060	3.980	99999.000	5.377	99999.000	9.020	99999.000	1.672	0.000	63.697	0.20100000	0.572	2.459	0.891	2.223	1.129	2.150	0.000	0.891	0.000	0.673	0.000	0.517	2.774	99999.000	4.254	99999.000	5.164	99999.000	0.024361	0.474537	0.429269	0.079315	0.698113	0.143630	0.391304
2.164	0.005	3.235	0.76900000	0.000	6.180	0.000	5.084	0.355	4.340	0.000	1.332	0.000	0.360	0.000	0.049	0.620	99999.000	1.323	99999.000	2.020	99999.000	2.484	0.004	3.174	0.79500000	0.000	6.201	0.000	5.289	0.484	4.691	0.000	1.931	0.000	0.601	0.000	0.051	0.247	99999.000	1.414	99999.000	1.952	99999.000	0.010627	0.312656	0.280960	0.044081	0.723404	0.084366	0.394737
1.344	0.002	99999.000	0.03200000	0.588	2.031	1.018	1.818	1.066	1.707	0.000	0.476	0.000	0.185	0.000	0.067	3.163	99999.000	5.416	99999.000	12.008	99999.000	1.781	0.000	99999.000	0.61200000	1.250	2.438	1.467	2.240	1.518	2.125	0.000	0.462	0.000	0.139	0.000	0.044	5.797	99999.000	9.156	99999.000	12.828	99999.000	0.036146	0.539568	0.369635	0.269579	0.704545	0.286348	0.463415
1.473	0.000	99999.000	0.76300000	1.002	2.180	1.180	1.936	1.219	1.832	0.000	0.392	0.000	0.097	0.000	0.042	4.400	99999.000	6.920	99999.000	11.891	99999.000	1.727	0.000	78.306	0.76100000	0.666	2.422	0.898	2.256	1.094	2.176	0.000	0.932	0.000	0.747	0.000	0.580	3.566	99999.000	4.825	99999.000	6.089	99999.000	0.022097	0.420532	0.303596	0.167915	0.763636	0.133587	0.444444
0.783	0.000	51.106	0.88200000	0.023	1.645	0.424	1.316	0.533	1.131	0.000	0.631	0.000	0.410	0.000	0.251	0.779	99999.000	1.220	99999.000	1.438	99999.000	0.900	0.000	4.163	0.87300000	0.000	2.619	0.000	2.115	0.000	1.885	0.000	0.628	0.000	0.272	0.000	0.169	0.460	99999.000	0.797	99999.000	1.077	99999.000	0.004980	0.088088	0.078220	0.010705	0.692308	0.061472	0.387097
1.773	0.000	99999.000	0.56800000	1.273	2.424	1.439	2.242	1.512	2.137	0.000	0.552	0.000	0.167	0.000	0.053	6.402	99999.000	11.754	99999.000	16.188	99999.000	2.105	0.047	41.406	0.76400000	0.598	3.328	0.973	2.967	1.168	2.805	0.000	1.571	0.000	0.946	0.000	0.708	4.092	99999.000	6.235	99999.000	8.379	99999.000	0.034628	0.615269	0.517964	0.201863	0.783333	0.159339	0.404255
1.457	0.000	99999.000	0.23800000	0.955	2.125	1.162	1.967	1.203	1.834	0.000	0.246	0.000	0.097	0.000	0.040	3.663	99999.000	6.080	99999.000	10.074	99999.000	1.586	0.000	99999.000	0.35700000	1.090	2.219	1.221	2.047	1.307	1.941	0.000	0.339	0.000	0.125	0.000	0.046	4.117	99999.000	6.852	99999.000	11.598	99999.000	0.012905	0.469835	0.401871	0.113627	0.708333	0.085915	0.375000
1.311	0.000	99999.000	0.18900000	0.867	1.979	1.027	1.697	1.059	1.605	0.000	0.346	0.000	0.102	0.000	0.035	2.911	99999.000	5.084	99999.000	10.523	99999.000	1.402	0.000	99999.000	0.49700000	0.906	2.049	1.117	1.838	1.152	1.768	0.000	0.260	0.000	0.076	0.000	0.030	3.902	99999.000	5.797	99999.000	10.348	99999.000	0.015798	0.406419	0.351040	0.085335	0.750000	0.127338	0.418605
1.291	0.000	99999.000	0.01200000	0.803	1.936	1.010	1.725	1.041	1.619	0.000	0.260	0.000	0.105	0.000	0.039	3.526	99999.000	5.982	99999.000	11.734	99999.000	1.646	0.000	99999.000	0.00700000	1.145	2.289	1.357	2.119	1.396	2.008	0.000	0.401	0.000	0.172	0.000	0.060	4.449	99999.000	7.037	99999.000	10.738	99999.000	0.034699	0.564688	0.342466	0.337963	0.682927	0.241976	0.473684
1.473	0.021	5.432	0.92500000	0.000	3.645	0.000	3.051	0.242	2.711	0.000	1.046	0.000	0.429	0.000	0.171	0.993	99999.000	1.881	99999.000	2.681	99999.000	1.391	0.568	6.519	1.00000000	0.000	5.449	0.148	4.258	0.430	3.676	0.000	1.452	0.000	0.722	0.000	0.362	1.341	99999.000	2.179	99999.000	3.057	99999.000	0.043248	0.413985	0.250670	0.217948	0.759259	0.245020	0.422222
1.691	0.000	99999.000	0.23200000	1.191	2.402	1.350	2.170	1.428	2.047	0.000	0.448	0.000	0.158	0.000	0.053	5.494	99999.000	8.092	99999.000	13.297	99999.000	1.822	0.005	99999.000	0.37100000	1.053	2.453	1.312	2.275	1.494	2.186	0.000	0.563	0.000	0.304	0.000	0.107	6.168	99999.000	8.551	99999.000	11.520	99999.000	0.016701	0.454802	0.398619	0.093423	0.720930	0.076454	0.400000
1.449	0.000	99999.000	0.25700000	1.029	2.148	1.150	1.920	1.195	1.787	0.000	0.404	0.000	0.100	0.000	0.033	3.912	99999.000	5.934	99999.000	10.094	99999.000	1.648	0.000	99999.000	0.50200000	1.207	2.299	1.354	2.131	1.389	2.051	0.000	0.374	0.000	0.185	0.000	0.062	5.230	99999.000	8.365	99999.000	11.246	99999.000	0.026489	0.429159	0.349961	0.121836	0.754717	0.132346	0.437500
1.547	0.000	99999.000	0.69700000	1.043	2.145	1.248	1.980	1.295	1.885	0.000	0.350	0.000	0.084	0.000	0.035	4.312	99999.000	5.963	99999.000	8.521	99999.000	1.719	0.009	37.759	0.88300000	0.449	2.686	0.783	2.398	1.035	2.275	0.000	0.991	0.000	0.635	0.000	0.483	2.696	99999.000	3.738	99999.000	5.079	99999.000	0.018647	0.394025	0.341883	0.079229	0.767857	0.097985	0.369565
0.879	0.000	99999.000	0.03200000	0.514	1.652	0.627	1.363	0.635	1.197	0.000	0.200	0.000	0.083	0.000	0.042	2.003	99999.000	14.078	99999.000	18.082	99999.000	1.375	0.171	3.396	0.93700000	0.000	5.051	0.000	3.736	0.127	3.141	0.000	1.380	0.000	0.531	0.000	0.179	1.071	99999.000	1.602	99999.000	2.243	99999.000	0.007326	0.221467	0.185826	0.043776	0.666667	0.066721	0.394737
1.312	0.000	38.528	0.83500000	0.549	2.281	0.709	2.047	0.812	1.859	0.000	1.030	0.000	0.587	0.000	0.373	1.609	99999.000	2.488	99999.000	3.157	99999.000	1.500	0.004	8.423	0.97100000	0.000	3.562	0.262	2.875	0.465	2.492	0.000	1.301	0.000	0.710	0.000	0.318	1.477	99999.000	1.902	99999.000	2.565	99999.000	0.009609	0.307052	0.289029	0.025349	0.729167	0.066857	0.414634
1.658	0.000	99999.000	0.06600000	1.068	2.332	1.291	2.131	1.396	2.037	0.000	0.448	0.000	0.158	0.000	0.056	5.221	99999.000	7.096	99999.000	10.934	99999.000	1.824	0.007	99999.000	0.37200000	1.018	2.469	1.385	2.311	1.508	2.201	0.000	0.469	0.000	0.193	0.000	0.072	6.344	99999.000	8.961	99999.000	11.090	99999.000	0.027657	0.592986	0.541862	0.111590	0.723404	0.121874	0.395349
1.746	0.025	14.713	0.79600000	0.326	3.871	0.676	3.035	0.967	2.666	0.000	1.072	0.000	0.717	0.000	0.362	1.658	99999.000	2.745	99999.000	3.580	99999.000	2.107	0.000	8.931	0.87900000	0.000	4.807	0.564	3.889	0.873	3.430	0.000	1.758	0.000	0.831	0.000	0.376	1.433	99999.000	2.520	99999.000	3.381	99999.000	0.023481	0.515024	0.460517	0.101036	0.750000	0.120560	0.263158
1.627	0.000	99999.000	0.13600000	1.119	2.314	1.328	2.109	1.373	2.000	0.000	0.329	0.000	0.077	0.000	0.039	4.674	99999.000	7.525	99999.000	11.104	99999.000	1.865	0.000	99999.000	0.59000000	1.334	2.547	1.469	2.340	1.561	2.223	0.000	0.353	0.000	0.142	0.000	0.051	6.305	99999.000	9.820	99999.000	13.453	99999.000	0.018306	0.536869	0.452921	0.153447	0.753846	0.141683	0.442308
1.600	0.004	99999.000	0.09800000	0.896	2.287	1.189	2.080	1.303	1.941	0.000	0.457	0.000	0.148	0.000	0.042	5.064	99999.000	7.838	99999.000	11.207	99999.000	1.809	0.000	99999.000	0.16300000	1.309	2.512	1.434	2.344	1.547	2.203	0.000	0.378	0.000	0.127	0.000	0.051	5.396	99999.000	8.307	99999.000	12.630	99999.000	0.024568	0.496343	0.376152	0.192661	0.771930	0.132572	0.469388
1.281	0.004	99999.000	0.03300000	0.582	1.896	0.898	1.729	0.988	1.611	0.000	0.299	0.000	0.127	0.000	0.044	3.246	99999.000	5.006	99999.000	10.836	99999.000	1.373	0.000	99999.000	0.03100000	0.873	2.004	1.070	1.854	1.121	1.738	0.000	0.325	0.000	0.076	0.000	0.032	2.994	99999.000	5.367	99999.000	9.820	99999.000	0.011379	0.355428	0.293319	0.087888	0.681818	0.086022	0.475000
1.133	0.000	99999.000	0.01600000	0.779	1.844	0.875	1.621	0.883	1.510	0.000	0.353	0.000	0.091	0.000	0.044	2.311	99999.000	3.961	99999.000	13.688	99999.000	1.184	0.000	99999.000	0.01900000	0.818	1.857	0.920	1.719	0.934	1.574	0.000	0.285	0.000	0.083	0.000	0.039	2.564	99999.000	4.518	99999.000	10.738	99999.000	0.006851	0.231400	0.183532	0.058627	0.666667	0.048743	0.454545
1.463	0.002	99999.000	0.02300000	0.656	2.074	1.107	1.904	1.172	1.805	0.000	0.415	0.000	0.139	0.000	0.053	4.518	99999.000	6.451	99999.000	9.098	99999.000	1.625	0.000	99999.000	0.08800000	1.125	2.316	1.287	2.119	1.359	1.996	0.000	0.329	0.000	0.084	0.000	0.028	4.996	99999.000	8.297	99999.000	13.238	99999.000	0.029769	0.450738	0.371799	0.125659	0.740741	0.180341	0.458333
1.350	0.000	99999.000	0.16600000	0.947	2.131	1.088	1.803	1.100	1.668	0.000	0.316	0.000	0.076	0.000	0.028	3.766	99999.000	5.934	99999.000	12.672	99999.000	1.439	0.000	99999.000	0.52900000	0.939	2.107	1.137	1.893	1.188	1.770	0.000	0.279	0.000	0.069	0.000	0.035	3.580	99999.000	6.871	99999.000	12.789	99999.000	0.013508	0.405790	0.347413	0.089454	0.734694	0.114354	0.428571
1.062	0.000	26.223	0.32700000	0.000	2.098	0.336	1.738	0.543	1.582	0.000	0.874	0.000	0.564	0.000	0.341	1.114	99999.000	1.631	99999.000	2.024	99999.000	1.162	0.000	13.177	0.29100000	0.000	2.795	0.209	2.137	0.551	1.934	0.000	0.969	0.000	0.459	0.000	0.230	0.970	99999.000	1.294	99999.000	1.689	99999.000	0.012843	0.242026	0.194378	0.059144	0.692308	0.111509	0.444444
1.033	0.007	99999.000	0.43200000	0.549	1.688	0.729	1.520	0.768	1.396	0.000	0.309	0.000	0.120	0.000	0.039	2.135	99999.000	3.629	99999.000	11.441	99999.000	0.975	0.093	99999.000	0.84000000	0.338	2.254	0.652	1.668	0.713	1.529	0.000	0.322	0.000	0.097	0.000	0.037	1.922	99999.000	6.559	99999.000	12.838	99999.000	0.008410	0.211599	0.198504	0.016339	0.695652	0.080472	0.405405
2.004	0.005	1.339	0.98000000	0.000	64.000	0.000	4.689	0.000	3.951	0.000	1.842	0.000	0.278	0.000	0.021	0.035	99999.000	0.285	99999.000	0.921	99999.000	2.203	0.000	1.325	0.95600000	0.000	6.195	0.000	4.578	0.000	4.016	0.000	2.030	0.000	0.225	0.000	0.026	0.028	99999.000	0.119	99999.000	0.387	99999.000	0.003226	0.104574	0.100807	0.004189	0.575758	0.031420	0.296296
1.051	0.028	99999.000	0.75600000	0.359	1.686	0.707	1.529	0.758	1.396	0.000	0.399	0.000	0.121	0.000	0.037	2.140	99999.000	3.990	99999.000	12.008	99999.000	1.006	0.192	99999.000	0.95700000	0.510	2.600	0.725	1.990	0.797	1.795	0.000	0.265	0.000	0.056	0.000	0.028	2.271	99999.000	5.934	99999.000	12.369	99999.000	0.011332	0.323958	0.258528	0.088244	0.729167	0.098187	0.488372
1.074	0.000	99999.000	0.02300000	0.789	1.699	0.822	1.510	0.826	1.420	0.000	0.279	0.000	0.058	0.000	0.030	2.154	99999.000	7.220	99999.000	14.957	99999.000	1.104	0.000	99999.000	0.03600000	0.791	1.752	0.846	1.570	0.854	1.443	0.000	0.220	0.000	0.067	0.000	0.033	2.037	99999.000	7.525	99999.000	14.684	99999.000	0.005420	0.240241	0.215927	0.031010	0.647059	0.055275	0.468750
1.004	0.000	99999.000	0.08300000	0.645	1.719	0.750	1.457	0.756	1.307	0.000	0.251	0.000	0.083	0.000	0.046	1.853	99999.000	8.619	99999.000	14.410	99999.000	1.080	0.004	99999.000	0.15600000	0.439	1.770	0.738	1.533	0.795	1.441	0.000	0.229	0.000	0.083	0.000	0.035	2.770	99999.000	4.508	99999.000	10.738	99999.000	0.007787	0.236555	0.178992	0.070113	0.657143	0.080160	0.454545
1.633	0.000	99999.000	0.18100000	1.139	2.305	1.307	2.086	1.375	1.986	0.000	0.431	0.000	0.116	0.000	0.037	5.240	99999.000	8.434	99999.000	12.770	99999.000	1.732	0.000	457.525	0.26800000	0.832	2.236	1.002	2.090	1.186	2.023	0.000	0.840	0.000	0.647	0.000	0.506	4.512	99999.000	7.007	99999.000	8.550	99999.000	0.010828	0.460827	0.442846	0.032273	0.700000	0.060918	0.222222
